Name,search_tag
Exterior wall U-value,@@WALLU@@
Ceiling U-value,@@CEILINGU@@
Slab U-value,@@SLABU@@
bsmt wall U-value,@@BSMTWU@@
Floor U-value,@@FLOORU@@
Windows U-value,@@WINU@@
Windows SHGC,@@SHGC@@
Lighting Stairwell (W),@@LTGSTR@@
exterior corridor LPD (W),@@LTGEXTCOR@@
internal parking LPD (W/sf),@@LTGINTPKG@@
external parking LPD (W/sf),@@LTGEXTPKG@@
in-unit heating setpoint temp (F),@@UNITHTST@@
In-unit cooling setpoint temp (F),@@UNITCLST@@
Corridor heating setpoint temp (F),@@CORHTST@@
Corridor cooling setpoint temp (F),@@CORCLST@@
bsmt heating setpoint temp (F),@@BSMTHTST@@
bsmt cooling setpoint temp (F),@@BSMTCLST@@
